"Name of Satellite, Alternate Names",Country of Operator/Owner,Operator/Owner,Users,Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,,Source Used for Orbital Data,Source,Source,Source,Source,Source,Source,
Echostar 5 ,USA,"Echostar Technologies, LLC (leased to Ceil Satellite Group)",Commercial,Communications,GEO,,-128.80,"35,775","35,797",2.61E-04,0.04,1436.09,"3,602","1,500","10,000",9/23/1999,12 yrs.,Space Systems/Loral,USA,Cape Canaveral,Atlas 2AS,1999-050A,25913,"CONUS, Hawaii, Alaska and Puerto Rico; 32 Ku-band transponders",,JM/12_08,http://www.dishnetwork.com/content/aboutus/satellites/echo5/index.shtml,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,,
Echostar 6 ,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,,-72.71,"35,775","35,798",2.73E-04,0.07,1436.12,"3,700","1,493","11,000",7/14/2000,12 yrs.,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 2AS,2000-038A,26402,"CONUS, Hawaii, Alaska and Puerto Rico; 32 Ku-band transponders",,JM/12_08,http://www.dishnetwork.com/content/aboutus/satellites/echo6/index.shtml,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,,
Echostar 7 ,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,,-118.85,"35,782","35,789",8.30E-05,0.01,1436.07,"4,027","2,200","13,000",2/21/2002,12 yrs.,Space Systems/Loral,USA,Cape Canaveral,Atlas 3B,2002-006A,27378,"CONUS, Hawaii, Alaska and Puerto Rico; 32 Ku-band transponders",,JM/12_08,http://www.dishnetwork.com/content/aboutus/satellites/echo7/index.shtml,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,,
Echostar 8 ,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,,-76.97,"35,783","35,789",7.12E-05,0.01,1436.1,"4,660",,"10,000",8/21/2002,12 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton,2002-039A,27501,"CONUS, Hawaii, Alaska and Puerto Rico; 32 Ku-band transponders",,JM/12_08,http://www.dishnetwork.com/content/aboutus/satellites/echo8/index.shtml,,,,,,
"Echostar 9/Galaxy 23 (G-23, Intelsat 1A-13, Telstar 13)",USA,"Echostar Technologies, LLC/Intelsat ",Commercial,Communications,GEO,,-121.02,"35,775","35,797",2.61E-04,0.01,1436.08,"4,000","2,500",,8/8/2003,13 yrs.,Space Systems/Loral,USA,Sea Launch,Zenit 3-SL,2003-034A,27854,"24 C-band, 2 Ka-band, 32 Ku-band; additional C-band payload owned and operated by Loral Skynet.",,JM/12_08,http://www.abcnewsabsat.com/home.html,www.spaceflightnow.com/sealaunch/echostar9/status.html,http://www.intelsat.com/news/releases/press/2003-26.asp,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,
Edusat (GSAT-3),India,Ministry of Education,Government,Communications,GEO,,+74.09,"35,750","35,822",8.54E-04,0.15,1436.1,"1,950",820,"2,040",9/20/2004,7 yrs.,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,GSLV (F04),2004-036A,28417,Interactive education for remote areas of India; 6 C-band and 6 Ku-band transponders; first satellite dedicated to education.,,JM/12_08,http://www.vigyanprasar.com/comcom/inter51.htm,http://www.spacenewsfeed.co.uk/2004/26September2004_26.html,http://www.gizmo.com.au/go/3269/,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://www.lib.cas.cz/knav/space.40/2004/036A.HTM,,
Egyptsat-1 (MisrSat-),Egypt,National Authority for Remote Sensing and Space Science (NARSSS),Government,Remote Sensing,LEO,,,658,665,4.98E-04,98.09,97.97,157,,,4/17/2007,,National Authority for Remote Sensing and Space Sciences (Egypt)/Yuzhnoye Design Bureau (Ukraine),Egypt/Ukraine,Baikonur Cosmodrome,Dnepr,2007-012A,31117,Carries an infrared sensing device and a high resolution multispectral imager together with forward communications payload; considered by many Israeli experts to be a spy satellite.,,,http://www.islamonline.net/servlet/Satellite?c=Article_C&cid=1176802153354&pagename=Zone-English-HealthScience%2FHSELayout,http://www.nkau.gov.ua/nsau/catalogNEW.nsf/proectE/3B41E4935D67F084C2256F2A003356A1?OpenDocument&Lang=E,http://www.lib.cas.cz/knav/space.40/2007/I012A.HTM,,,,
Ekran M1 (Ekran M-18),Russia,Russian Satellite Communications Company (Intersputnik),Commercial,Communications,GEO,,+99.38,"35,776","35,797",2.49E-04,5.44,1436.13,"1,970",,"1,200",4/7/2001,3 yrs.,NPO-PM,Russia,Baikonur Cosmodrome,Proton M,2001-014A,26736,TV/radio broadcasting; 2 C-band transponders.,,JM/12_08,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://nssdc.gsfc.nasa/gov/spacewarn/spx570.html,http://www.rscc.ru/eng/model106.html,,,,
Envisat-1 ,ESA,European Space Agency (ESA),Government,Remote Sensing,LEO,Sun-Synchronous,,784,790,4.19E-04,98.5,100.6,"8,111","3,010","7,500",3/1/2002,5 yrs.,European Space Agency,International,Guiana Space Center,Ariane 5,2002-009A,27386,"Monitoring and study of Earth's environment and climate change; mangement of Earth's rseources, renewable and non-renewable; global warming, ozone layer",,JMSatcat304,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://ilrs.gsfc.nasa.gov/satellite_missions/list_of_satellites/envisat/,http://envisat.esa.int/,,,,
EO-1 (Earth Observing 1),USA,NASA Earth Science Office,Government,Earth Observation/Research,LEO,Sun-Synchronous,,682,729,3.32E-03,98.2,98.88,572,,600,11/21/2000,5 yrs.,Swales Aerospace,USA,Vandenberg AFB,Delta-2,2000-075A,26619,One-year technology validation/demonstration mission; image Earth's surface in numerous wavelength bands.,,JMSatcat304,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://earthobservatory.nasa.gov/Library/EO1/eo1.html,http://eo1.usgs.gov/,http://directory.eoportal.org/pres_EO1EarthObserving1.html,,,
EOS-AM Terra ,USA/Canada/Japan,Earth Sciences Enterprise (NASA),Government,Earth Science,LEO,Sun-Synchronous,,655,686,2.20E-03,98.2,98.15,"4,854",,"2,530",12/18/1999,6 yrs.,TRW Space,USA,Vandenberg AFB,Atlas 2AS,1999-068A,25994,,,JM/Satcat304,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx554.html,http://terra.nasa.gov/,,,,
EOS-CHEM Aura ,USA,Goddard Space Flight Center/EOS Data and Operations System,Government,Remote Sensing,LEO,Sun-Synchronous,,702,703,7.07E-05,98.2,98.8,"2,967",,"4,600 (EOL)",7/15/2004,5+ yrs.,TRW,USA,Vandenberg AFB,Delta 2,2004-026A,28376,"Study Earth's ozone, air quality, and climate; extension of UARS and TOMS missions.",,SC - ASCR,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://www.technewsworld.com/story/35136.html,http://aura.gsfc.nasa.gov/,http://www.lib.cas.cz/knav/space.40/2004/026A.HTM,,,
"EOS-PM Aqua (Advanced Microwave Scanning Radiometer for EOS, EOS PM-1)",USA/Japan/Brazil,NASA - Earth Science Enterprise/Japan Meteorological Agency/Brazilian Space Agency,Government,Earth Observation,LEO,Sun-Synchronous,,673,686,9.22E-04,98.1,98.34,"2,934","2,832","4,860 (EOL)",5/4/2002,6 yrs.,NASA/Jet Propulsion Laboratory/Japan Aerospace Exploration Agency/Equatorial Systems (Brazil),USA/Japan/Brazil,Vandenberg AFB,Delta,2002-022A,27424,Six-year chronology of the planet and its hydrological processes.,,JMSatcat304,http://www.gsfc.nasa.gov/topstory/2003/0528aqua.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx583.html,http://aqua.gsfc.nasa.gov/,http://www.tierramerica.net/2002/0721/iacentos.shtml,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://directory.eoportal.org/pres_AQUA.html,
EROS A1 (Earth Resources Observation Satellite),Israel,"ImageSat International, NV/Ministry of Defense",Military/Commercial,Remote Sensing,LEO,Sun-Synchronous,,491,502,8.01E-04,97.3,94.55,240,,,12/5/2000,6 yrs.,Israel Aircraft Industries (IAI),Israel,Svobodni Cosmodrome,Start-1,2000-079A,26631,"High resolution imaging satellite; obtain images (with terrain width of 12.6 km) of locations chosen by Israeli military or worldwide commercial clients; in Jan. 2001 Ministry of Defense bought rights to all imaging of Israel and territories within 2,000 km radius.",,JMSatcat304,www.spaceandtech.com/spacedata,http://nssdc.gsfc.nasa.gov/spacewarn/spx566.html,http://www.coresw.com/news/isi20001205.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,
EROS B1 (Earth Resources Observation Satellite),Israel,"ImageSat International, NV/Ministry of Defense",Military/Commercial,Remote Sensing,LEO,Sun-Synchronous,,503,516,9.45E-04,97.33,94.82,350,,800,4/25/2006,10 yrs.,Israel Aircraft Industries (IAI),Israel,Svobodni Cosmodrome,Start-1,2006-014A,29079,"High resolution imaging satellite; obtain images (with resolution of 0.82 meters) of locations chosen by Israeli military or worldwide commercial clients; in Jan. 2001 Ministry of Defense bought rights to all imaging of Israel and territories within 2,000 km around Israel.",,SC - ASCR,http://www.spaceandtech.com/spacedata/logs/2003/erosb1_sumpub.shtml,,,,,,
ERS-2 (European Remote Sensing Satellite),ESA,European Space Agency,Government,Earth Science,LEO,Sun-Synchronous,,783,785,1.40E-04,98.5,100.53,"2,510",,"2,200 (BOL)",4/21/1995,3 yrs.,European Space Agency,International,Guiana Space Center,Ariane,1995-021A,23560,"Earth resources spacecraft; measure ocean surface and waves, temperatures; monitor ozone and ozone-destroying gases; ocean currents and changes in Arctic and Antarctic ice.",,JMSatcat304,http://nssdc.gsfc.nasa.gov/spacewarn/spx499.html,http://earth.esa.int/ers/,http://www.esa.int/export/esaSA/GGGWBR8RVDC_earth_0.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,
ESSAIM-1 ,France,Centre National d'Etudes Spatiales (CNES)/Délégation Générale de l'Armement (DGA),Military,ELINT Demonstration,LEO,Sun-Synchronous,,666,674,5.68E-04,98.1,,120,,,12/18/2004,3 yrs.,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5G,2004-049C,28494,"Demonstration satellites for ELINT; map the ""electro-magnetic environment of the Earth's surface""; system of four satellites.",,HA,,http://nssdc.gsfc.nasa.gov/spacewarn/spx614.html,http://www.heavens-above.com/satinfo.asp?satid=28494,,,,
ESSAIM-2 ,France,Centre National d'Etudes Spatiales (CNES)/Délégation Générale de l'Armement (DGA),Military,ELINT Demonstration,LEO,Sun-Synchronous,,661,678,1.21E-03,98.1,,120,,,12/18/2004,3 yrs.,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5G,2004-049D,28495,"Demonstration satellites for ELINT; map the ""electro-magnetic environment of the Earth's surface""; system of four satellites.",,HA,,http://nssdc.gsfc.nasa.gov/spacewarn/spx614.html,http://www.heavens-above.com/satinfo.asp?satid=28495,,,,
ESSAIM-3 ,France,Centre National d'Etudes Spatiales (CNES)/Délégation Générale de l'Armement (DGA),Military,ELINT Demonstration,LEO,Sun-Synchronous,,643,659,1.14E-03,98.1,,120,,,12/18/2004,3 yrs.,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5G,2004-049E,28496,"Demonstration satellites for ELINT; map the ""electro-magnetic environment of the Earth's surface""; system of four satellites.",,HA,,http://nssdc.gsfc.nasa.gov/spacewarn/spx614.html,http://www.heavens-above.com/satinfo.asp?satid=28496,,,,
ESSAIM-4 ,France,Centre National d'Etudes Spatiales (CNES)/Délégation Générale de l'Armement (DGA),Military,ELINT Demonstration,LEO,Sun-Synchronous,,644,655,7.84E-04,98.1,,120,,,12/18/2004,3 yrs.,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5G,2004-049F,28497,"Demonstration satellites for ELINT; map the ""electro-magnetic environment of the Earth's surface""; system of four satellites.",,HA,,http://nssdc.gsfc.nasa.gov/spacewarn/spx614.html,http://www.heavens-above.com/satinfo.asp?satid=28497,,,,
Estrela do Sul 1 (Telstar 14) ,Brazil,Loral Skynet do Brasil (Loral Skynet),Commercial,Communications,GEO,,-62.99,"35,783","35,789",7.12E-05,0.02,1436.08,"4,694",,,1/11/2004,,Space Systems/Loral,USA,Sea Launch (Odyssey),Zenit-3SL,2004-001A,28137,41 Ku-band transponders; direct-to-home video and internet to Brazil and North America.,,JM/12_08,http://nssdc.gsfc.nasa.gov/spacewarn/spx603.html,http://www.sea-launch.com/past_launches.htm,http://www.loralglobalalliance.com/fleet/skynet_brasil/brazil_overview_us.asp.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,
Eurasiasat 1 (Turksat 2A),Turkey/France,Eurasiasat SAM/Alcatel Space,Commercial,Communications,GEO,,+42.08,"35,761","35,810",5.81E-04,0.02,1436.06,"3,535","1,900","9,000 (EOL)",1/10/2001,15 yrs.,Alcatel Space Industries,France,Guiana Space Center,Ariane 4,2001-002A,26666,"32 Ku-band transponders; direct-to-home voice, video, and data transmissions to countries between central Europe and the Indian subcontinent.",,JM/12_08,http://www.spaceandtech.com/digest/flash2001/flash2001-004.shtml,http://nssdc.gsfc.nasa.gov/spacewarn/spx567.html,http://www.eurasiasat.com/,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,
Eurobird 1 (Eurosat 1),Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,,+28.56,"35,788","35,794",7.12E-05,0.07,1436.1,"2,950","1,375","5,900",3/8/2001,12 yrs.,Alcatel Space Industries,France,Guiana Space Center,Ariane V,2001-011A,26719,Twenty-four channels; Western and Central Europe as far west as Canary Islands.,,JM/12_08,,http://www.eutelsat.com/satellites/4_1.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,
"Eurobird 2 (Arabsat 2D, Hot Bird 5)",Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,,+25.59,"35,771","35,799",3.32E-04,0.06,1436.05,"2,995","1,700","5,500",9/10/1998,12 yrs.,Matra Marconi Space (Astrium),France/UK,Cape Canaveral,Atlas 2A,1998-057A,25495,"Business services, satellite news gathering and television and radio programme distribution.",,JM/12_08,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://www.eutelsat.com/satellites/4_1.html,http://www.selkirkshire.demon.co.uk/analoguesat/comparison20.html,,,,
"Eurobird 4 (Hot Bird 3, Eurobird 10, Eutelsat 2-F9)",Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,,+4.16,"35,755","35,802",5.58E-04,0.08,1435.69,"2,885","1,700","6,000",9/2/1997,14 yrs.,Matra Marconi Space (Astrium),France/UK/Germany,Guiana Space Center,Ariane 4,1997-049A,24931,"Cable programming; direct-to-home broadcasting; Europe, North Africa, 20 active channels",,JM/12_08,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://www.eutelsat.com/satellites/4_1.html,,,,,
"Eurobird 9 (Hot Bird 2, Eutelsat 2-F8, Eutelsat HB2)",Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,,+9.08,"35,757","35,815",6.88E-04,0.08,1436.07,"2,915","1,700",,11/21/1996,14 yrs.,Matra Marconi Space (Astrium),France/UK/Germany,Cape Canaveral,Delta II,1996-067A,24665,"Full coverage of Europe, Middle East, parts of Africa and Asia; 20 active channels",,JM/12_08,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://www.eutelsat.com/satellites/4_1.html,,,,,
"Europe*Star 1 (Intelsat 12, Europe*Star FM1, IS-12, PAS-12)",Multinational,Europe*Star (Altacel; Loral Global Alliance),Commercial,Communications,GEO,,+45.04,"35,776","35,796",2.37E-04,0,1436.09,"4,167","1,729","12,000",10/29/2000,18 yrs.,Alcatel Space Industries,France,Guiana Space Center,Ariane 44LP,2000-068A,26590,30 Ku-band; highest powered Ku-band cross connection between South East Asia and Europe.,,JM/12_08,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,http://www.europestar.com/,,,,
Eutelsat W-1,Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,,+10.11,"35,761","35,810",5.81E-04,0.07,1436.06,"3,250","1,430","5,900",9/6/2000,12 yrs.,Matra Marconi Space (Astrium),France/UK/Germany,Cape Canaveral,Atlas 2A,2000-052A,26487,"Twenty-eight channels, Europe, Atlantic Islands, North Africa, Middle East, Central Asia.",,JM/12_08,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://www.eutelsat.com/satellites/4_1.html,,,,,
Eutelsat W-2 ,Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,,+16.05,"35,770","35,801",3.68E-04,0.05,1436.04,"2,490","1,380","5,800",10/5/1998,12 yrs.,Alcatel Space Industries,France,Guiana Space Center,Ariane 4,1998-056A,25491,"Twenty-four transponders, Europe, North Africa, Middle East.",,JM/12_08,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://www.eutelsat.com/satellites/4_1.html,,,,,
Eutelsat W2M,Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,,+1.77,"35,764","35,808",5.22E-04,0.12,1436.08,"3,460","1,555","7,000",12/20/2008,15 yrs.,EADS Astrium,France,Guiana Space Center,Ariane 5,2008-065B,33460,30 Ku-band transponders.,,JM/12_08,http://www.eutelsat.com/news/compress/en/2008/pdf/PR%204508%20HB9%20-%20W2M%20launch.pdf,,,,,,
Eutelsat W3A ,Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,,+7.06,"35,769","35,802",3.91E-04,0.06,1436.07,"4,300","2,000",,3/15/2004,15 yrs.,Astrium,France,Baikonur Cosmodrome,Proton M,2004-008A,28187,58 Ku-band transponders; covers whole of sub-Saharan Africa and provides connectivity to Europe and Middle East.,,JM/12_08,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://www.eutelsat.com/satellites/4_1.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx605.html,,,,
Eutelsat W-4 ,Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,,+36.09,"35,766","35,806",4.74E-04,0.07,1436.08,"3,190","1,380","6,000",5/24/2000,12 yrs.,Alcatel Space Industries,France,Cape Canaveral,Atlas 3A,2000-028A,26369,"Thirty-one operational channels, Western Russia,  majoritiy of central and southern Afirca.",,JM/12_08,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://www.eutelsat.com/satellites/4_1.html,,,,,
Eutelsat W-5 ,Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,,+70.54,"35,780","35,790",1.19E-04,0.02,1436.04,"3,170","1,900","5,900",11/20/2002,12 yrs.,Alcatel Space Industries,France,Cape Canaveral,Atlas IIAS,2002-051A,27554,"Twenty-four transponders, Ku-band connectivity from western Europe through Middle East and Central and South Asia.",,JM/12_08,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://www.eutelsat.com/satellites/4_1.html,,,,,
Eutelsat W-6 (Eutelsat W-3),Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,,+21.65,"35,770","35,802",3.80E-04,0.07,1436.09,"2,490","1,380","5,800",4/12/1999,12 yrs.,Alcatel Space Industries,France,Guiana Space Center,Ariane 4,1999-018A,25673,"Broadcasting, telecommunications, direct-to-home tv, business services; 24 Ku-band transponders; Europe, Atlantic Islands, North Africa, Middle East, Central Asia.",,JM/12_08,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://www.eutelsat.com/satellites/4_1.html,,,,,
